[INFO] [2024-11-18 05:08:31,629] [autotune] generated config file done
[INFO] [2024-11-18 05:08:31,658] [autotune] wait for connection
[INFO] [2024-11-18 05:08:50,722] [autotune] Connected to MySQL db
[INFO] [2024-11-18 05:08:50,723] [autotune] finish 19 seconds waiting for connection
[INFO] [2024-11-18 05:08:50,724] [autotune] /usr/sbin/mysqld --defaults-file=scripts/template/experiment_normandy.cnf
[INFO] [2024-11-18 05:08:50,724] [autotune] mysql is up
[INFO] [2024-11-18 05:08:50,724] [autotune] sleeping for 5 seconds after restarting mysql
[INFO] [2024-11-18 05:08:55,765] [autotune] [2024-11-18 05:08:55] Knobs applied online!
[INFO] [2024-11-18 05:08:56,163] [autotune] [DBG]. bash /usr/local/lib/python3.8/dist-packages/autotune/cli/run_oltpbench.sh twitter /oltpbench/config/sample_twitter_config.xml 1731906536
[INFO] [2024-11-18 05:10:01,334] [DBTune-oltpbench_twitter_smac_ground_truth] Iteration 2, objective value: [2147483647].
