[INFO] [2024-11-21 11:03:49,672] [autotune] internal metrics: [0.0, 33987.42857142857, 175883644.34285715, 529568065.82857144, 1296.5428571428572, 10741.657142857142, 15206.285714285714, 1404672409.6, 730291521.8285714, 85734.4, 44573.45714285714, 766223.5714285715, 10.028571428571428, 851968.0, 0.0, 0.0, 183231.14285714287, 9031.771428571428, 13958643712.0, 0.0, 93541.65714285715, 1484.4857142857143, 1499.6, 2956.4857142857145, 174.0, 1707.9142857142858, 0.0, 1705.942857142857, 0.0, 0.0, 0.0, 6.571428571428571, 0.0, 2118.6285714285714, 15155.685714285713, 153.77142857142857, 16384.0, 3279.8, 8066.428571428572, 0.0, 170.85714285714286, 5157.257142857143, 172.17142857142858, 673.5714285714286, 19088.685714285715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 520162.7428571429, 0.0, 133942.14285714287, 142.6, 6650.942857142857, 10734.42857142857, 15673.514285714286, 32098347.885714285, 175.45714285714286, 0.0, 0.0, 3658.4285714285716].
[WARNING] [2024-11-21 11:03:49,676] [HistoryContainer] Repeated configuration detected!
[INFO] [2024-11-21 11:03:49,677] [DDPG_Optimizer] New Episode-1, initialize
[INFO] [2024-11-21 11:03:49,677] [DBTune-sysbench_ddpg_74] Iteration 2, objective value: [-12.972222222222221].
[INFO] [2024-11-21 11:03:50,207] [autotune] [step 3] generate knobs: {'back_log': 25455, 'binlog_cache_size': 2060619219, 'connect_timeout': 31054493, 'ft_query_expansion_limit': 276, 'general_log': 'OFF', 'innodb_adaptive_max_sleep_delay': 359328, 'innodb_api_bk_commit_interval': 1, 'innodb_autoextend_increment': 517, 'innodb_buffer_pool_size': 13159946631, 'innodb_commit_concurrency': 831, 'innodb_concurrency_tickets': 994619392, 'innodb_doublewrite': 'ON', 'innodb_fill_factor': 38, 'innodb_ft_result_cache_limit': 3315890604, 'innodb_ft_total_cache_size': 509647614, 'innodb_io_capacity': 763624, 'innodb_io_capacity_max': 12950, 'innodb_log_buffer_size': 2583454740, 'innodb_log_file_size': 632380875, 'innodb_lru_scan_depth': 3555, 'innodb_max_dirty_pages_pct_lwm': 51, 'innodb_max_purge_lag': 1418412672, 'innodb_max_purge_lag_delay': 1715172, 'innodb_max_undo_log_size': 5159216738532586000, 'innodb_old_blocks_time': 3966097407, 'innodb_online_alter_log_max_size': 5166004007586884000, 'innodb_open_files': 525080, 'innodb_purge_batch_size': 1382, 'innodb_purge_threads': 15, 'innodb_random_read_ahead': 'ON', 'innodb_read_ahead_threshold': 34, 'innodb_read_io_threads': 31, 'innodb_spin_wait_delay': 3384, 'innodb_stats_transient_sample_pages': 63, 'innodb_sync_spin_loops': 13074, 'innodb_thread_concurrency': 550, 'innodb_thread_sleep_delay': 369076, 'join_buffer_size': 579932603, 'key_buffer_size': 4945372677, 'key_cache_age_threshold': 14764, 'key_cache_block_size': 9742, 'log_output': 'TABLE', 'max_allowed_packet': 458062731, 'max_binlog_cache_size': 11032363333662542000, 'max_binlog_size': 310123713, 'max_binlog_stmt_cache_size': 9639676825944694000, 'max_connections': 27612, 'max_delayed_threads': 8614, 'max_heap_table_size': 20978868, 'max_join_size': 6121352317003367000, 'max_prepared_stmt_count': 857350, 'max_seeks_for_key': 10926187893814722000, 'max_sort_length': 3507094, 'max_user_connections': 1195927424, 'max_write_lock_count': 8450300463563145000, 'net_buffer_length': 585011, 'open_files_limit': 157860, 'preload_buffer_size': 492973706, 'query_cache_limit': 50347472, 'query_cache_min_res_unit': 42577, 'query_cache_size': 581453760, 'query_prealloc_size': 50668340, 'range_alloc_block_size': 51638, 'read_buffer_size': 1429699211, 'sort_buffer_size': 32768, 'stored_program_cache': 206150, 'sync_binlog': 2625793535, 'table_definition_cache': 459593, 'table_open_cache': 103752, 'table_open_cache_instances': 36, 'thread_cache_size': 3851, 'tmp_table_size': 643802970, 'transaction_alloc_block_size': 105311, 'transaction_prealloc_size': 88936}

[INFO] [2024-11-21 11:04:50,316] [autotune] Force close!
[INFO] [2024-11-21 11:04:50,434] [autotune] mysql is shut down
[INFO] [2024-11-21 11:04:50,440] [autotune] generated config file done
[INFO] [2024-11-21 11:04:50,492] [autotune] wait for connection
[INFO] [2024-11-21 11:05:21,581] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:22,587] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:23,589] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:24,591] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:25,592] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:26,596] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:27,600] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:28,602] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:29,604] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:30,607] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:31,609] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:32,611] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:33,614] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:34,620] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:35,622] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:36,624] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:37,630] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:38,632] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:39,634] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:40,638] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:41,641] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:42,643] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:43,645] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:44,647] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:45,649] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:46,652] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:47,654] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:48,656] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-21 11:05:49,661] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
